,starting_Datetime,ending_Datetime,start_frequency,end_frequency,flare_location,flare_region,flare_classification,cme_Datetime,cme_angle,CPA_Is_Halo,cme_width,Width_IS_lower_bound,cme_speed,Row description
154,2001-10-25 15:30:00,2001-10-25 15:30:00,14000,30,S16W21,9672,X1.3,2001-10-25 15:26:00,NA,True,360,False,1092,NaN
155,2001-11-04 16:30:00,2001-11-04 16:30:00,14000,70,N06W18,9684,X1.0,2001-11-04 16:35:00,NA,True,360,False,1810,NaN
156,2001-11-17 05:35:00,2001-11-17 05:35:00,11000,1700,S13E42,9704,M2.8,2001-11-17 05:30:00,NA,True,360,False,1379,uncertain
157,2001-11-22 20:50:00,2001-11-22 20:50:00,8000,1000,S25W67,9698,M3.8,2001-11-22 20:30:00,NA,True,360,False,1443,NaN
158,2001-11-22 22:40:00,2001-11-22 22:40:00,14000,40,S17W36,9704,M9.9,2001-11-22 23:30:00,NA,True,360,False,1437,NaN
159,2001-12-11 12:45:00,2001-12-11 12:45:00,4500,750,SW90b,NaN,NaN,2001-12-11 09:54:00,263,False,121,False,891,NaN
160,2001-12-25 11:25:00,2001-12-25 11:25:00,14000,1000,SE90b,NaN,NaN,2001-12-25 11:30:00,NA,True,360,False,1773,NaN
161,2001-12-26 05:20:00,2001-12-26 05:20:00,14000,150,N08W54,9742,M7.1,2001-12-26 05:30:00,281,False,212,True,1446,NaN
162,2001-12-28 20:35:00,2001-12-28 20:35:00,14000,350,S26E90,9756,X3.4,2001-12-28 20:30:00,NA,True,360,False,2216,NaN
163,2001-12-29 20:45:00,2001-12-29 20:45:00,3000,1500,NaN,NaN,NaN,2001-12-29 20:30:00,297,False,211,True,819,NaN
164,2002-01-08 18:30:00,2002-01-08 18:30:00,14000,90,NE90b,NaN,NaN,2002-01-08 17:54:00,NA,True,360,False,1794,NaN
165,2002-01-14 06:25:00,2002-01-14 06:25:00,12000,100,S28W83,9772,M4.4,2002-01-14 05:35:00,NA,True,360,False,1492,NaN
166,2002-01-27 12:49:00,2002-01-27 12:49:00,14000,3000,NaN,NaN,NaN,2002-01-27 12:30:00,NA,True,360,False,1136,NaN
167,2002-02-01 19:23:00,2002-02-01 19:23:00,14000,11000,NaN,NaN,NaN,2002-02-01 19:54:00,350,False,89,False,448,NaN
168,2002-02-21 12:35:00,2002-02-21 12:35:00,4000,1500,N16W79,9825,M3.9,2002-02-21 12:54:00,275,False,108,False,358,NaN
169,2002-03-11 00:00:00,2002-03-11 00:00:00,14000,8000,S11E90,9866,M2.3,2002-03-10 23:06:00,NA,True,360,False,1429,NaN
170,2002-03-12 00:00:00,2002-03-12 00:00:00,14000,2200,S15E45,NaN,M5.0,2002-03-11 23:30:00,NA,True,360,False,950,broad feature
171,2002-03-15 22:45:00,2002-03-15 22:45:00,14000,6000,S08W03,9866,M2.2,2002-03-15 23:06:00,NA,True,360,False,957,NaN
172,2002-03-17 06:00:00,2002-03-17 06:00:00,3000,1000,S20E24,9871,C3.1,2002-03-17 04:06:00,141,False,56,False,658,NaN
173,2002-03-18 02:55:00,2002-03-18 02:55:00,14000,1000,S15W22,9873,M1.0,2002-03-18 02:54:00,NA,True,360,False,989,NaN
